invoice_id,customer_id,date,action,outcome,remaining_amount_before,amount_recovered,remaining_amount_after,status_after,promise_date,human_decision,message_language,message_source,message_fallback_reason,message_text
INV00001,CUST0019,2026-03-01,gentle_reminder,ignore,364972.32,0.0,364972.32,overdue,,,Hinglish,llm,,"Namaste Golden‑Blair team,  

Humne dekha hai ki INV00001 (INR 364,972.32) ka invoice 28‑Feb‑2026 ko due tha aur aaj 1 din overdue hai. Shayad koi oversight hua hoga; kripya is payment ko process kar dein.  

Aapke cooperation ke liye dhanyavaad."
INV00002,CUST0017,2026-03-01,gentle_reminder,ignore,42040.68,0.0,42040.68,overdue,,,English,llm,,"Dear Hale and Sons,

We hope you are well. This is a friendly reminder that invoice INV00002 for INR 42,040.68, due on 2026‑02‑23, is currently 6 days overdue. Please let us know if you have any questions or if the payment has already been processed. Thank you for your attention."
INV00003,CUST0020,2026-03-01,gentle_reminder,ignore,314576.89,0.0,314576.89,overdue,,,Hinglish,llm,,"Hi Lynch-Jones team, hope sab theek hai. Sirf yaad dilane ke liye batana chahta hoon ki invoice **INV00003** INR 314,576.89 ka due date **25 Feb 2026** thi aur abhi **4 din overdue** hai. Kripya jab aapke liye convenient ho payment process kar dein. Kisi bhi clarification ke liye humse zaroor contact karein."
INV00004,CUST0031,2026-03-01,gentle_reminder,ignore,411217.48,0.0,411217.48,overdue,,,Hinglish,llm,,"Namaste Brown‑Tate team, aapka invoice INV00004 INR 411,217.48 ka due date 24 Feb 2026 tha aur abhi 5 din overdue hai. Shayad koi oversight ho gaya hoga; kripya payment ko process kar den. Agar aapko koi clarification chahiye ho, please humein batayein."
INV00005,CUST0001,2026-03-01,gentle_reminder,ignore,475638.57,0.0,475638.57,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199687, Requested 1211. Please try again in 6m27.936s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Gould-Foster, hope you're doing well. Just a quick note that invoice INV00005 for INR 475,638.57 was due on 2026-02-27. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
INV00006,CUST0026,2026-03-01,firm_reminder,ignore,81318.93,0.0,81318.93,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199679, Requested 1212. Please try again in 6m24.912s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Dear Duffy Group, invoice INV00006 (INR 81,318.93) ab 65 din se overdue hai, due date 2025-12-26 thi. Please jaldi payment arrange karein, ya agar koi issue hai to hamein batayein, hum help kar sakte hain. Is week ke andar response ki ummeed rahegi."
INV00007,CUST0034,2026-03-01,firm_reminder,ignore,577054.85,0.0,577054.85,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199671, Requested 730. Please try again in 2m53.232s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Dear Cole PLC, invoice INV00007 (INR 577,054.85) ab 55 din se overdue hai, due date 2026-01-05 thi. Please jaldi payment arrange karein, ya agar koi issue hai to hamein batayein, hum help kar sakte hain. Is week ke andar response ki ummeed rahegi."
INV00008,CUST0039,2026-03-01,firm_reminder,ignore,132328.57,0.0,132328.57,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199664, Requested 698. Please try again in 2m36.384s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Dear Smith PLC, invoice INV00008 (INR 132,328.57) ab 66 din se overdue hai, due date 2025-12-25 thi. Please jaldi payment arrange karein, ya agar koi issue hai to hamein batayein, hum help kar sakte hain. Is week ke andar response ki ummeed rahegi."
INV00009,CUST0040,2026-03-01,firm_reminder,ignore,417690.25,0.0,417690.25,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199656, Requested 729. Please try again in 2m46.32s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Dear Baker Inc, invoice INV00009 for INR 417,690.25 is now 48 days past its due date of 2026-01-12. Please arrange payment at your earliest convenience, or reach out if there's an issue we can help resolve. We'd appreciate a response by end of week."
INV00010,CUST0028,2026-03-01,gentle_reminder,ignore,426149.47,0.0,426149.47,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199647, Requested 1214. Please try again in 6m11.952s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Lane, Maldonado and Griffin, hope you're doing well. Just a quick note that invoice INV00010 for INR 426,149.47 was due on 2026-02-17. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
